Entity,Code,Year,Electric power consumption (kWh per capita) (kWh per capita)
Albania,ALB,1971,532.02843152625
Albania,ALB,1972,568.403201603477
Albania,ALB,1973,593.446745665183
Albania,ALB,1974,591.032643383924
Albania,ALB,1975,739.345093272667
Albania,ALB,1976,908.67454726938
Albania,ALB,1977,1067.81415577833
Albania,ALB,1978,1098.48316581368
Albania,ALB,1979,1065.76739836628
Albania,ALB,1980,1142.96535512577
Albania,ALB,1981,1123.96810630449
Albania,ALB,1982,1096.87322889453
Albania,ALB,1983,1070.69016441863
Albania,ALB,1984,1018.1002875264
Albania,ALB,1985,796.353973775973
Albania,ALB,1986,1420.61479470727
Albania,ALB,1987,1161.95167669011
Albania,ALB,1988,1005.93953033667
Albania,ALB,1989,1021.39350044285
Albania,ALB,1990,552.252184819181
Albania,ALB,1991,418.45358899715
Albania,ALB,1992,453.64407387777
Albania,ALB,1993,536.363825095196
Albania,ALB,1994,596.407959255952
Albania,ALB,1995,663.783995402449
Albania,ALB,1996,904.346640328557
Albania,ALB,1997,694.664802792381
Albania,ALB,1998,734.849913537668
Albania,ALB,1999,1414.70378393053
Albania,ALB,2000,1449.64741324695
Albania,ALB,2001,1351.23079642883
Albania,ALB,2002,1578.16591882688
Albania,ALB,2003,1469.26453867857
Albania,ALB,2004,1797.52548696885
Albania,ALB,2005,1722.07284972507
Albania,ALB,2006,1218.36014605619
Albania,ALB,2007,1213.12436932179
Albania,ALB,2008,1617.7441562046
Albania,ALB,2009,1835.68407241763
Albania,ALB,2010,1943.34335385842
Albania,ALB,2011,2205.70392004668
Albania,ALB,2012,2118.32777605579
Albania,ALB,2013,2533.25282927106
Albania,ALB,2014,2309.36650255581
Algeria,DZA,1971,133.08726560749
Algeria,DZA,1972,142.029446007773
Algeria,DZA,1973,157.80387623013
Algeria,DZA,1974,169.630136751065
Algeria,DZA,1975,194.504802443268
Algeria,DZA,1976,218.728779745296
Algeria,DZA,1977,231.710422005786
Algeria,DZA,1978,277.284735623555
Algeria,DZA,1979,312.673883538093
Algeria,DZA,1980,328.322141473282
Algeria,DZA,1981,361.267618628152
Algeria,DZA,1982,403.631448571303
Algeria,DZA,1983,415.012250869583
Algeria,DZA,1984,438.661938581574
Algeria,DZA,1985,463.708413201243
Algeria,DZA,1986,482.374630786129
Algeria,DZA,1987,452.673577447047
Algeria,DZA,1988,478.986797547705
Algeria,DZA,1989,519.010619822761
Algeria,DZA,1990,528.434936105991
Algeria,DZA,1991,529.405205456331
Algeria,DZA,1992,556.63690357717
Algeria,DZA,1993,545.01759304842
Algeria,DZA,1994,548.087629004649
Algeria,DZA,1995,557.079781006963
Algeria,DZA,1996,567.704750009478
Algeria,DZA,1997,572.927769310097
Algeria,DZA,1998,615.577695636288
Algeria,DZA,1999,649.783899966498
Algeria,DZA,2000,680.195974430198
Algeria,DZA,2001,705.934793364669
Algeria,DZA,2002,727.612643532377
Algeria,DZA,2003,783.032358774422
Algeria,DZA,2004,800.704307891519
Algeria,DZA,2005,886.914576373772
Algeria,DZA,2006,858.934010580582
Algeria,DZA,2007,890.814352714554
Algeria,DZA,2008,943.755743391953
Algeria,DZA,2009,863.085973626393
Algeria,DZA,2010,1012.69083578198
Algeria,DZA,2011,1118.50880991021
Algeria,DZA,2012,1231.97009240867
Algeria,DZA,2013,1272.29602403971
Algeria,DZA,2014,1356.26455370835
Angola,AGO,1971,80.2625103774662
Angola,AGO,1972,88.5151083168401
Angola,AGO,1973,101.402041231334
Angola,AGO,1974,123.355406191157
Angola,AGO,1975,127.432824743159
Angola,AGO,1976,55.5626081113561
Angola,AGO,1977,53.9909787100903
Angola,AGO,1978,52.4107325241546
Angola,AGO,1979,54.620014231291
Angola,AGO,1980,56.663568461013
Angola,AGO,1981,54.7352065394077
Angola,AGO,1982,56.3547493904295
Angola,AGO,1983,59.1044993728076
Angola,AGO,1984,48.845414091863
Angola,AGO,1985,56.9325675211768
Angola,AGO,1986,55.3061032574104
Angola,AGO,1987,54.1081742743176
Angola,AGO,1988,53.0659803813941
Angola,AGO,1989,51.9140691946902
Angola,AGO,1990,51.7605105262393
Angola,AGO,1991,53.1328210596517
Angola,AGO,1992,52.2040399141139
Angola,AGO,1993,50.7321318074501
Angola,AGO,1994,49.4173199470194
Angola,AGO,1995,48.1463514526672
Angola,AGO,1996,50.1284405069402
Angola,AGO,1997,68.3280070403694
Angola,AGO,1998,72.6249293906381
Angola,AGO,1999,71.5370996665406
Angola,AGO,2000,75.056608740482
Angola,AGO,2001,82.434085410898
Angola,AGO,2002,85.7582712771421
Angola,AGO,2003,95.4218969027107
Angola,AGO,2004,87.0361877598497
Angola,AGO,2005,108.63037655155
Angola,AGO,2006,143.91188328687
Angola,AGO,2007,132.681280561997
Angola,AGO,2008,171.879581349135
Angola,AGO,2009,188.961667389593
Angola,AGO,2010,206.34057808996
Angola,AGO,2011,207.031258871036
Angola,AGO,2012,219.356355456913
Angola,AGO,2013,280.402518006919
Angola,AGO,2014,312.476017317085
Arab World,,1971,195.163395095494
Arab World,,1972,209.787297492652
Arab World,,1973,228.947272891193
Arab World,,1974,253.176037922856
Arab World,,1975,280.426798525337
Arab World,,1976,323.230395486733
Arab World,,1977,366.835612016568
Arab World,,1978,423.802993736535
Arab World,,1979,511.414498598117
Arab World,,1980,573.181168874562
Arab World,,1981,619.953928627598
Arab World,,1982,709.08696160247
Arab World,,1983,764.801595433576
Arab World,,1984,849.780877023921
Arab World,,1985,876.254094356804
Arab World,,1986,953.053199708661
Arab World,,1987,990.844731607735
Arab World,,1988,1027.12890849286
Arab World,,1989,1046.92882084264
Arab World,,1990,1062.99949931895
Arab World,,1991,1028.47144928807
Arab World,,1992,1061.75761319717
Arab World,,1993,1115.97992950639
Arab World,,1994,1143.24308883033
Arab World,,1995,1250.01513681318
Arab World,,1996,1288.11163195562
Arab World,,1997,1332.47994119594
Arab World,,1998,1425.25848591557
Arab World,,1999,1476.67054311144
Arab World,,2000,1509.8121225755
Arab World,,2001,1573.00507682749
Arab World,,2002,1641.17838362208
Arab World,,2003,1711.66934461546
Arab World,,2004,1758.49925796905
Arab World,,2005,1832.83033161939
Arab World,,2006,1932.40270037643
Arab World,,2007,1987.1109820734
Arab World,,2008,2053.18891803874
Arab World,,2009,2110.7612301402
Arab World,,2010,2286.73538038414
Arab World,,2011,2322.21334205943
Arab World,,2012,2360.61917505294
Arab World,,2013,2416.28262352013
Arab World,,2014,2489.22007258894
Argentina,ARG,1971,870.623729630743
Argentina,ARG,1972,920.47157099827
Argentina,ARG,1973,956.277672798277
Argentina,ARG,1974,986.176142367492
Argentina,ARG,1975,1004.18249528378
Argentina,ARG,1976,1024.20381164862
Argentina,ARG,1977,1073.01115219507
Argentina,ARG,1978,1084.7305867447
Argentina,ARG,1979,1207.78626795741
Argentina,ARG,1980,1234.3676883648
Argentina,ARG,1981,1188.99790508225
Argentina,ARG,1982,1200.35233512383
Argentina,ARG,1983,1250.93626702774
Argentina,ARG,1984,1292.80853279032
Argentina,ARG,1985,1281.55839607002
Argentina,ARG,1986,1323.54658763433
Argentina,ARG,1987,1407.43581315394
Argentina,ARG,1988,1446.52467830606
Argentina,ARG,1989,1315.6328280068
Argentina,ARG,1990,1299.55206792208
Argentina,ARG,1991,1342.92673736195
Argentina,ARG,1992,1405.10437763301
Argentina,ARG,1993,1490.72509542913
Argentina,ARG,1994,1569.67473486329
Argentina,ARG,1995,1641.04315570873
Argentina,ARG,1996,1719.66535442074
Argentina,ARG,1997,1838.89761136981
Argentina,ARG,1998,1957.58519424782
Argentina,ARG,1999,2023.73560319742
Argentina,ARG,2000,2078.28644020102
Argentina,ARG,2001,2109.49604404776
Argentina,ARG,2002,2003.43790355976
Argentina,ARG,2003,2167.7198160795
Argentina,ARG,2004,2279.29182020484
Argentina,ARG,2005,2392.89391410831
Argentina,ARG,2006,2357.95291526127
Argentina,ARG,2007,2438.08991413208
Argentina,ARG,2008,2752.09076907263
Argentina,ARG,2009,2708.93643135549
Argentina,ARG,2010,2847.25684177929
Argentina,ARG,2011,2901.27352075512
Argentina,ARG,2012,2974.69597348146
