Entity,Code,Year,Electricity consumption
Albania,ALB,1971,532.0284315263
Albania,ALB,1972,568.4032016035
Albania,ALB,1973,593.4467456652
Albania,ALB,1974,591.0326433839
Albania,ALB,1975,739.3450932727
Albania,ALB,1976,908.6745472694
Albania,ALB,1977,1067.8141557783
Albania,ALB,1978,1098.4831658137
Albania,ALB,1979,1065.7673983663
Albania,ALB,1980,1142.9653551258
Albania,ALB,1981,1123.9681063045
Albania,ALB,1982,1096.8732288945
Albania,ALB,1983,1070.6901644186
Albania,ALB,1984,1018.1002875264
Albania,ALB,1985,796.353973776
Albania,ALB,1986,1420.6147947073
Albania,ALB,1987,1161.9516766901
Albania,ALB,1988,1005.9395303367
Albania,ALB,1989,1021.3935004429
Albania,ALB,1990,552.2521848192
Albania,ALB,1991,418.4535889972
Albania,ALB,1992,453.6440738778
Albania,ALB,1993,536.3638250952
Albania,ALB,1994,596.407959256
Albania,ALB,1995,663.7839954024
Albania,ALB,1996,904.3466403286
Albania,ALB,1997,694.6648027924
Albania,ALB,1998,734.8499135377
Albania,ALB,1999,1414.7037839305
Albania,ALB,2000,1449.647413247
Albania,ALB,2001,1351.2307964288
Albania,ALB,2002,1578.1659188269
Albania,ALB,2003,1469.2645386786
Albania,ALB,2004,1797.5254869689
Albania,ALB,2005,1722.0728497251
Albania,ALB,2006,1218.3601460562
Albania,ALB,2007,1213.1243693218
Albania,ALB,2008,1617.7441562046
Albania,ALB,2009,1835.6840724176
Albania,ALB,2010,1943.3433538584
Albania,ALB,2011,2205.7039200467
Albania,ALB,2012,2118.3277760558
Albania,ALB,2013,2533.2528292711
Albania,ALB,2014,2309.3665025558
Belarus,BLR,1990,4380.9009716361
Belarus,BLR,1991,4426.0349225034
Belarus,BLR,1992,3912.8817541112
Belarus,BLR,1993,3450.2392811798
Belarus,BLR,1994,3068.3484892931
Belarus,BLR,1995,2789.9744948009
Belarus,BLR,1996,2806.4960629921
Belarus,BLR,1997,2953.0493229218
Belarus,BLR,1998,3016.2876154534
Belarus,BLR,1999,3005.3642570495
Belarus,BLR,2000,2996.3094750196
Belarus,BLR,2001,3009.4024816718
Belarus,BLR,2002,3000.7456250783
Belarus,BLR,2003,3063.0569385824
Belarus,BLR,2004,3174.0530923174
Belarus,BLR,2005,3245.3720878133
Belarus,BLR,2006,3365.981865135
Belarus,BLR,2007,3393.9085361051
Belarus,BLR,2008,3481.7435165987
Belarus,BLR,2009,3298.7036073785
Belarus,BLR,2010,3563.6377659834
Belarus,BLR,2011,3628.4572897019
Belarus,BLR,2012,3697.3974839651
Belarus,BLR,2013,3648.3214604864
Belarus,BLR,2014,3679.9788400689
France,FRA,1960,1456.6936122445
France,FRA,1961,1543.7113370033
France,FRA,1962,1646.8324613091
France,FRA,1963,1743.2291991096
France,FRA,1964,1888.4960046939
France,FRA,1965,1980.1584742487
France,FRA,1966,2088.2929970286
France,FRA,1967,2180.7916244529
France,FRA,1968,2263.22017681
France,FRA,1969,2467.3178375879
France,FRA,1970,2623.0181764826
France,FRA,1971,2746.166994354
France,FRA,1972,2920.4542029956
France,FRA,1973,3148.9524648968
France,FRA,1974,3247.6643215108
France,FRA,1975,3235.3119319279
France,FRA,1976,3573.4261986558
France,FRA,1977,3670.7016312878
France,FRA,1978,3914.4299676194
France,FRA,1979,4187.7292307063
France,FRA,1980,4407.6536540449
France,FRA,1981,4567.7473450785
France,FRA,1982,4606.907708441
France,FRA,1983,4699.5096755334
France,FRA,1984,4933.012334222
France,FRA,1985,5246.4019890525
France,FRA,1986,5494.945091944
France,FRA,1987,5634.2101906993
France,FRA,1988,5717.2906389921
France,FRA,1989,5836.0129098164
France,FRA,1990,5940.7506130965
France,FRA,1991,6359.7742808142
France,FRA,1992,6475.7879178607
France,FRA,1993,6453.0004415061
France,FRA,1994,6530.4118893744
France,FRA,1995,6621.9419706449
France,FRA,1996,6905.1647529584
France,FRA,1997,6833.1362984626
France,FRA,1998,7015.5016039534
France,FRA,1999,7149.296925496
France,FRA,2000,7224.5269854299
France,FRA,2001,7342.2566753529
France,FRA,2002,7299.2484604912
France,FRA,2003,7529.5502991202
France,FRA,2004,7661.491180234
France,FRA,2005,7652.8643037185
France,FRA,2006,7540.2952978968
France,FRA,2007,7513.5793304407
France,FRA,2008,7643.4498497545
France,FRA,2009,7338.0418984987
France,FRA,2010,7734.7267826214
France,FRA,2011,7232.9802338514
France,FRA,2012,7363.4260384236
France,FRA,2013,7367.8465593089
France,FRA,2014,6939.5223108141
India,IND,1971,98.0564588893
India,IND,1972,100.5951706037
India,IND,1973,100.9225177736
India,IND,1974,104.2928480444
India,IND,1975,114.8910387694
India,IND,1976,124.4865032015
India,IND,1977,126.6301239861
India,IND,1978,136.3256027533
India,IND,1979,136.1563345356
India,IND,1980,142.1488849599
India,IND,1981,152.3618743664
India,IND,1982,158.6136094993
India,IND,1983,166.2375729295
India,IND,1984,183.9226463341
India,IND,1985,194.2017046803
India,IND,1986,208.7035465123
India,IND,1987,220.9997603297
